Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,28.0,1.0,28.0,28.0,0.1,14.005999999999995,0.0,0.0,0.017568588256835938,,,,,,,,,,,,,,,,,,,,,4.428824692643108,4.8481392170261035,13.9097985959994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,59.0,2.0,31.0,59.0,0.1,18.105000000000015,0.0,0.0,3.4135642051696777,,,,,,,,,,,,,,,,,,,,,6.242456188832241,6.307316052861064,17.947360632049673,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,85.0,3.0,26.0,85.0,0.1,11.604999999999995,0.0,0.0,6.2068092823028564,,,,,,,,,,,,,,,,,,,,,3.549314814806636,3.9489209603131825,11.535777834706607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,159.0,4.0,74.0,159.0,0.1,40.907,0.0,0.0,13.56476354598999,,,,,,,,,,,,,,,,,,,,,15.680263678507133,12.480840378899488,39.82627320793313,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,236.0,5.0,77.0,236.0,0.1,56.504999999999995,0.0,0.0,21.27347755432129,,,,,,,,,,,,,,,,,,,,,22.609435000687046,17.535019519307117,54.87376616350798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,273.0,6.0,37.0,273.0,0.1,16.706000000000017,0.0,0.0,24.965741872787476,,,,,,,,,,,,,,,,,,,,,5.2652389485632956,5.369090457071435,16.544258130906847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,295.0,7.0,22.0,295.0,0.1,9.405999999999995,0.0,0.0,27.220208406448364,,,,,,,,,,,,,,,,,,,,,2.804186420590486,3.3019666170849575,9.36302458489221,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,336.0,8.0,41.0,336.0,0.1,24.106000000000016,0.0,0.0,31.355886220932007,,,,,,,,,,,,,,,,,,,,,8.24984032039568,8.099291820489455,23.815363458417153,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,356.0,9.0,20.0,356.0,0.1,7.505,0.0,0.0,33.601752042770386,,,,,,,,,,,,,,,,,,,,,2.1725032508976487,2.6070029952877722,7.476495449385368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,386.0,10.0,30.0,386.0,0.1,12.904999999999994,0.0,0.0,36.697683572769165,,,,,,,,,,,,,,,,,,,,,3.764207471843464,4.293040056726128,12.817696350850047,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
